Unnamed: 0,year,Observed Max Temp,Observed Min Temp,Max Observed Precipitation,month,0,D0,D1,D2,D3,D4,W0,W1,W2,W3,W4,Max Wind Speed,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,GIS_ACRES,Shape__Area,Shape__Length,Damage Inspection Date,Damage,Structure Type,# Units in Structure (if multi unit),Latitude,Longitude,Fuel Moisture Date,PERCENT
82,2003,73.82855988,52.83791733,14.99463983,8/1/03,68.2,0.0,0.0,0.0,0.0,0.0,31.8,11.4,0.0,0.0,0.0,,174407,8/23/03,8/23/03,16.0,302.7944,1817456.563,8178.177615,inaccessible,inaccessible,unknown,1.0,,,8/6/03,78.0
83,2003,73.82855988,52.83791733,14.99463983,8/1/03,68.2,0.0,0.0,0.0,0.0,0.0,31.8,11.4,0.0,0.0,0.0,,174407,8/23/03,8/23/03,16.0,302.7944,1817456.563,8178.177615,inaccessible,inaccessible,unknown,1.0,,,8/20/03,78.0
84,2003,73.82855988,52.83791733,14.99463983,9/1/03,68.6,0.0,0.0,0.0,0.0,0.0,31.4,13.1,0.0,0.0,0.0,,181907,9/2/03,9/2/03,11.0,21.87809,130702.5859,2199.149897,inaccessible,inaccessible,unknown,1.0,,,9/3/03,72.0
85,2003,73.82855988,52.83791733,14.99463983,9/1/03,68.6,0.0,0.0,0.0,0.0,0.0,31.4,13.1,0.0,0.0,0.0,,181907,9/2/03,9/2/03,11.0,21.87809,130702.5859,2199.149897,inaccessible,inaccessible,unknown,1.0,,,9/17/03,69.0
86,2003,73.82855988,52.83791733,14.99463983,9/1/03,68.6,0.0,0.0,0.0,0.0,0.0,31.4,13.1,0.0,0.0,0.0,,200343,9/27/03,9/27/03,16.0,175.1584,1053417.195,6074.023411,inaccessible,inaccessible,unknown,1.0,,,9/3/03,72.0
87,2003,73.82855988,52.83791733,14.99463983,9/1/03,68.6,0.0,0.0,0.0,0.0,0.0,31.4,13.1,0.0,0.0,0.0,,200343,9/27/03,9/27/03,16.0,175.1584,1053417.195,6074.023411,inaccessible,inaccessible,unknown,1.0,,,9/17/03,69.0
88,2003,73.82855988,52.83791733,14.99463983,10/1/03,0.0,0.0,0.0,0.0,0.0,0.0,100.1,77.6,9.5,0.0,0.0,,211757,10/13/03,10/13/03,2.0,356.0853,2140447.262,9435.831925,inaccessible,inaccessible,unknown,1.0,,,10/8/03,70.0
89,2003,73.82855988,52.83791733,14.99463983,10/1/03,0.0,0.0,0.0,0.0,0.0,0.0,100.1,77.6,9.5,0.0,0.0,,211757,10/13/03,10/13/03,2.0,356.0853,2140447.262,9435.831925,inaccessible,inaccessible,unknown,1.0,,,10/22/03,69.0
90,2003,73.82855988,52.83791733,14.99463983,10/1/03,0.0,0.0,0.0,0.0,0.0,0.0,100.1,77.6,9.5,0.0,0.0,,220027,10/24/03,10/28/03,16.0,8474.283,50526532.93,50843.34486,inaccessible,inaccessible,unknown,1.0,,,10/8/03,70.0
91,2003,73.82855988,52.83791733,14.99463983,10/1/03,0.0,0.0,0.0,0.0,0.0,0.0,100.1,77.6,9.5,0.0,0.0,,220027,10/24/03,10/28/03,16.0,8474.283,50526532.93,50843.34486,inaccessible,inaccessible,unknown,1.0,,,10/22/03,69.0
