station,"Weather Station at Los Angeles International Airport, Los Angeles (LAX), California"
variable,Maximum Wind Speed
units,mph
record high,"34.7 on February 22, 1987"
record low,"6.9 on February 21, 2009"

date,value
2016-03-01T05:00Z,12.7505369186
2016-03-02T05:00Z,12.7505369186
2016-03-03T05:00Z,17.2244091034
2016-03-04T05:00Z,12.7505369186
2016-03-05T05:00Z,33.3303489685
2016-03-06T05:00Z,33.3303489685
2016-03-07T05:00Z,24.1589126587
2016-03-08T05:00Z,11.4083747864
2016-03-09T05:00Z,13.8690052032
2016-03-10T05:00Z,28.8564777374
2016-03-11T05:00Z,16.1059417725
2017-02-19T05:00Z,13.8690052032
2017-02-20T05:00Z,12.7505369186
2017-02-21T05:00Z,25.277381897
2017-02-22T05:00Z,25.277381897
2017-02-23T05:00Z,14.9874725342
2017-02-24T05:00Z,16.1059417725
2017-02-25T05:00Z,13.8690052032
2017-02-26T05:00Z,12.7505369186
2017-02-27T05:00Z,14.9874725342
2017-02-28T05:00Z,14.9874725342
2017-03-01T05:00Z,14.9874725342
2017-03-02T05:00Z,12.7505369186
2017-03-03T05:00Z,13.8690052032
2017-03-04T05:00Z,24.1589126587
2017-03-05T05:00Z,20.8035087585
2017-03-06T05:00Z,14.9874725342
2017-03-07T05:00Z,14.9874725342
2017-03-08T05:00Z,13.8690052032
2017-03-09T05:00Z,13.8690052032
2017-03-10T05:00Z,11.4083747864
2017-03-11T05:00Z,12.7505369186
2018-02-19T05:00Z,19.6850395203
2018-02-20T05:00Z,19.6850395203
2018-02-21T05:00Z,20.8035087585
2018-02-22T05:00Z,24.1589126587
2018-02-23T05:00Z,18.3428783417
2018-02-24T05:00Z,17.2244091034
2018-02-25T05:00Z,17.2244091034
2018-02-26T05:00Z,20.8035087585
2018-02-27T05:00Z,12.7505369186
2018-02-28T05:00Z,16.1059417725
2018-03-01T05:00Z,13.8690052032
2018-03-02T05:00Z,18.3428783417
2018-03-03T05:00Z,19.6850395203
2018-03-04T05:00Z,16.1059417725
2018-03-05T05:00Z,16.1059417725
2018-03-06T05:00Z,12.7505369186
2018-03-07T05:00Z,13.8690052032
2018-03-08T05:00Z,13.8690052032
2018-03-09T05:00Z,10.2899065018
2018-03-10T05:00Z,10.2899065018
2018-03-11T05:00Z,17.2244091034
2019-02-19T05:00Z,26.3958492279
2019-02-20T05:00Z,18.3428783417
2019-02-21T05:00Z,21.9219760895
2019-02-22T05:00Z,14.9874725342
2019-02-23T05:00Z,16.1059417725
2019-02-24T05:00Z,13.8690052032
2019-02-25T05:00Z,14.9874725342
2019-02-26T05:00Z,11.4083747864
2019-02-27T05:00Z,11.4083747864
2019-02-28T05:00Z,11.4083747864
