OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,DECADES,Shape__Area,Shape__Length
2490,2017,CA,CCO,LAC,RYE,00362441,2017-12-05 00:00:00+00:00,2017-12-13 00:00:00+00:00,14.0,7.0,1.0,6047.719,2010,36056780.6015625,43088.9726766245
2818,2017,CA,CCO,LAC,TOPANGA,00191835,2017-06-29 00:00:00+00:00,2017-07-02 00:00:00+00:00,14.0,7.0,1.0,20.00055,2010,118210.6953125,2543.84169062352
2986,2016,CA,CCO,LAC,NEWHALL  FIRE,109704,2016-04-15 00:00:00+00:00,2016-04-15 00:00:00+00:00,11.0,1.0,1.0,28.31304,2010,168912.859375,4723.16438130099
2987,2016,CA,CCO,LAC,GORMAN FIRE,114380,2016-04-19 00:00:00+00:00,2016-04-19 00:00:00+00:00,14.0,7.0,1.0,105.8172,2010,636358.6953125,6493.24981621831
2988,2016,CA,CCO,LAC,WESTLAKE  FIRE,118511,2016-04-23 00:00:00+00:00,2016-04-24 00:00:00+00:00,14.0,1.0,1.0,1.313691,2010,7777.9921875,594.999254997107
2989,2016,CA,CCO,LAC,CEMENT FIRE,124428,2016-04-29 00:00:00+00:00,2016-04-29 00:00:00+00:00,5.0,1.0,1.0,30.11751,2010,181025.890625,2826.02914181132
2990,2016,CA,CCO,LAC,DALE FIRE,153333,2016-05-28 00:00:00+00:00,2016-05-28 00:00:00+00:00,14.0,7.0,1.0,4.628255,2010,27654.86328125,1288.19971681375
2991,2016,CA,CCO,LAC,WAYSIDE FIRE,165688,2016-06-09 00:00:00+00:00,2016-06-09 00:00:00+00:00,14.0,1.0,1.0,7.189027,2010,42892.7421875,1121.68104005965
2992,2016,CA,CCO,LAC,SAGE FIRE,198015,2016-07-09 00:00:00+00:00,2016-07-16 00:00:00+00:00,4.0,7.0,1.0,850.8893,2010,5066086.77734375,12250.8143587639
2993,2016,CA,CCO,LAC,TOPANGA FIRE,180879,2016-06-23 00:00:00+00:00,2016-06-23 00:00:00+00:00,14.0,1.0,1.0,0.8112921,2010,4803.2265625,431.226092679497
2994,2016,CA,CCO,LAC,SYCAMORE FIRE,201310,2016-07-12 00:00:00+00:00,2016-07-12 00:00:00+00:00,14.0,1.0,1.0,3.283275,2010,19571.50390625,1095.15290454111
2995,2016,CA,CCO,LAC,BARNES FIRE,208738,2016-07-19 00:00:00+00:00,2016-07-19 00:00:00+00:00,3.0,1.0,1.0,12.63156,2010,75950.890625,2185.10267771063
