OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,IRWINID,FIRE_NUM,COMPLEX_ID,DECADES,Shape__Area,Shape__Length
2067,2018,CA,CCO,LAC,DULCE,00250407,2018/08/18 00:00:00+00,2018/08/18 00:00:00+00,15,1,1,9.17901,,,{8EB8FA1C-18F6-447A-AD69-A7AE1353848E},,,2010,54783.76953125,2078.39087973815
2068,2018,CA,CCO,LAC,VANTAGE,00273301,2018/09/08 00:00:00+00,2018/09/08 00:00:00+00,3,1,1,0.1195796,,,{DB03F436-2BC1-485B-8F71-77FB212497EE},,,2010,705.2578125,105.789006114859
2069,2018,CA,CCO,LAC,STONE,00166129,2018/06/04 00:00:00+00,2018/06/05 00:00:00+00,2,7,1,1350.647,,,{A7D9C0A6-F17F-4052-BB7B-A817F7EAB752},,,2010,8076638.40234375,23581.6876487441
2070,2018,CA,CCO,LAC,QUAIL,00314199,2018/10/16 00:00:00+00,2018/10/16 00:00:00+00,14,1,1,2.155347,,,{C8883C51-C624-421E-85C1-BF125356F80C},,,2010,12957.94140625,860.112573530667
2071,2018,CA,CCO,LAC,WELDON,00331818,2018/11/01 00:00:00+00,2018/11/01 00:00:00+00,2,1,1,0.08640093,,,{9C510174-E3B7-4293-BB63-E9F1245DE5DC},,,2010,514.18359375,97.5897796246284
2072,2018,CA,CCO,LAC,CHARLIE,00288255,2018/09/22 00:00:00+00,2018/09/23 00:00:00+00,14,7,1,3350.528,,,{1EDBE08A-0F18-4AB3-BE59-D00EFE8F9DD8},,,2010,20020954.2382812,30913.2829436431
2073,2018,CA,CCO,LAC,MUREAU,00307419,2018/10/10 00:00:00+00,2018/10/10 00:00:00+00,11,1,1,0.1335966,,,{40323155-8B3C-4B92-B0F9-F33F3C682A20},,,2010,791.41015625,125.802097341378
2074,2018,CA,CCO,LAC,SANTA MARIA,00330515,2018/10/31 00:00:00+00,2018/10/31 00:00:00+00,14,1,1,1.347234,,,{D6CD0730-0560-43DF-B3FF-EA8890F31B5A},,,2010,7975.60552889109,601.430444495755
2075,2018,CA,CCO,LAC,COPCO,00345491,2018/11/07 00:00:00+00,2018/11/14 00:00:00+00,9,1,1,6.980345,,,{FEB5A87A-41C8-488E-91D1-B8F5EBD43F31},,,2010,41912.03125,982.77242084307
2076,2018,CA,CCO,LAC,FAIRMONT,00273722,2018/09/09 00:00:00+00,2018/09/09 00:00:00+00,14,7,1,219.2987,,,{2D2887AA-4530-46AF-893F-41181BB33C0D},,,2010,1316299.03125,5748.20109397697
2077,2018,CA,CCO,LAC,OAK,00389425,2018/12/25 00:00:00+00,2018/12/25 00:00:00+00,11,1,1,2.18085,,,{5458EC96-634D-42FC-9746-39BD8FB83F6D},,,2010,13017.6640625,582.622201109047
2213,2018,CA,CCO,LAC,PICO,00221025,2018/07/23 00:00:00+00,2018/07/24 00:00:00+00,14,7,1,111.3536,,,{7B1588CD-610E-47F8-9038-5CFE30286317},,,2010,663352.50390625,6399.92933172952
2214,2018,CA,CCO,LAC,WOOLSEY,00338981,2018/11/08 00:00:00+00,2018/11/20 00:00:00+00,11,7,1,89551.38,VNC INC# 00091023    18-0091023 VNC end date 1/4/2019,,{B13D8C7F-2B0B-4BA5-960C-CC4767139B06},,,2010,530077573.371094,657758.046565514
2457,2017,CA,CCO,LAC,ENCINAL,00125827,2017/04/29 00:00:00+00,2017/04/29 00:00:00+00,2,7,1,2.525276,,,{63478059-83BE-4EF5-9110-D580E9843F53},,,2010,14933.80078125,750.120974597807
2458,2017,CA,CCO,LAC,PLACERITA,00187296,2017/06/25 00:00:00+00,2017/06/26 00:00:00+00,7,7,1,759.7584,,,{02254813-7E4E-4ED4-89FD-9E407D442697},,,2010,4525545.8359375,18978.9736384337
2459,2017,CA,CCO,LAC,LAKE,00178275,2017/06/17 00:00:00+00,2017/06/17 00:00:00+00,14,7,1,733.2616,,,{B859BA3F-49F8-4D3F-A1D9-7ABBA2744B59},,,2010,4385183.73828125,17739.3844126574
2460,2017,CA,CCO,LAC,STOKES,00191819,2017/06/29 00:00:00+00,2017/07/02 00:00:00+00,14,7,1,42.10419,,,{E4E6DF64-93C5-4409-87AD-2E5333EC0179},,,2010,249150.1953125,2640.65544771803
2461,2017,CA,CCO,LAC,GAVINA,00143075,2017/05/15 00:00:00+00,2017/05/15 00:00:00+00,4,1,1,2.574129,,,,,,2010,15311.2265625,712.967430517682
2462,2017,CA,CCO,LAC,MULHOLLAND,00147096,2017/05/19 00:00:00+00,2017/05/19 00:00:00+00,14,1,1,7.373501,,,{958FED8D-8D55-421F-8D24-447D5137F05F},,,2010,43624.45703125,1365.05840633091
2463,2017,CA,CCO,LAC,BARN,00157711,2017/05/29 00:00:00+00,2017/05/29 00:00:00+00,4,7,1,2.064039,,,{B9F4AA08-A5F5-4CB0-8B31-45DB1F9E42E6},,,2010,12330.96875,541.38648636913
2464,2017,CA,CCO,LAC,FIVE,00163449,2017/06/03 00:00:00+00,2017/06/03 00:00:00+00,14,7,1,25.30416,,,{345A6716-8356-46DB-82EC-3AB757B61766},,,2010,151271.87109375,2686.85859822005
2465,2017,CA,CCO,LAC,SOUTH,00174063,2017/06/13 00:00:00+00,2017/06/13 00:00:00+00,4,1,1,9.507282,,,{1FD3FE3D-1A73-4615-9BF9-9F2CD7489F74},,,2010,57020.25390625,1177.2297938569
2466,2017,CA,CCO,LAC,WAGON,00184068,2017/06/22 00:00:00+00,2017/06/22 00:00:00+00,2,7,1,0.1805364,,,{E4974E24-69AC-4FAA-ABE0-A66BD280BFDE},,,2010,1078.046875,154.415832407693
2467,2017,CA,CCO,LAC,BROWNS,00197749,2017/07/04 00:00:00+00,2017/07/05 00:00:00+00,8,7,1,0.03477105,,,{9C7968DB-4830-4A82-BFF7-A3B1F41AECC5},,,2010,206.75,76.8444736800326
2468,2017,CA,CCO,LAC,VISTA,00224040,2017/07/29 00:00:00+00,2017/07/29 00:00:00+00,14,7,1,0.5557644,,,{E087E0B2-2823-49ED-B0C4-F5AF81FB46CF},,,2010,3322.33203125,327.685859742429
2469,2017,CA,CCO,LAC,PALMS,00227042,2017/07/31 00:00:00+00,2017/07/31 00:00:00+00,14,7,1,2.911873,,,{1D919F81-BE62-4695-B5A3-57744AF5D91A},,,2010,17195.82421875,667.983315539701
2470,2017,CA,CCO,LAC,JOHNSON,00171906,2017/06/11 00:00:00+00,2017/06/11 00:00:00+00,7,7,1,38.81298,,,{54EB6B22-5E67-4A0E-AB00-1CF18B101B16},,,2010,232771.9453125,3727.66889737429
2471,2017,CA,CCO,LAC,CANYON,00197049,2017/07/04 00:00:00+00,2017/07/04 00:00:00+00,14,7,1,1.362349,,,{1A8A7FFA-5C95-4012-ADC5-DE22ABC41F82},,,2010,8033.296875,804.378836961196
2472,2017,CA,CCO,LAC,NEENACH,00192904,2017/06/30 00:00:00+00,2017/06/30 00:00:00+00,2,7,1,18.74323,,,{BFABB4EC-2D56-40C8-A73F-11349A3EAFCD},,,2010,112692.73046875,1732.55656891096
2473,2017,CA,CCO,LAC,OLD,00212637,2017/07/18 00:00:00+00,2017/07/18 00:00:00+00,2,7,1,1.638321,,,{0AF6CEA9-ED57-4B87-AE8F-A554C4679A0B},,,2010,9747.8828125,621.700390963247
