STID,DATE,FUEL_TYPE,FUEL_VARIATION,PERCENT,NAME,GACC,GROUP,LAT,LON,ELE
691,2008-02-15,Chamise,None,119.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2008-02-29,Chamise,None,138.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2008-03-14,Chamise,None,132.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2008-04-04,Chamise,None,99.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2008-04-18,Chamise,None,100.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2008-05-02,Chamise,None,101.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2008-05-16,Chamise,None,92.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2008-05-30,Chamise,None,92.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2008-06-13,Chamise,None,92.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2008-06-27,Chamise,None,90.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2008-07-24,Chamise,None,77.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2008-08-08,Chamise,None,67.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2008-08-22,Chamise,None,66.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2008-09-05,Chamise,None,69.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2008-09-19,Chamise,None,63.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2008-10-03,Chamise,None,73.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2008-10-31,Chamise,None,69.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2008-11-14,Chamise,None,68.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2008-12-05,Chamise,None,75.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2009-01-09,Chamise,None,76.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2009-01-23,Chamise,None,83.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2009-02-06,Chamise,None,84.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2009-02-20,Chamise,None,100.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2009-03-06,Chamise,None,107.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2009-03-20,Chamise,None,107.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2009-04-03,Chamise,None,142.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2009-04-17,Chamise,None,132.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2009-05-01,Chamise,None,116.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2009-05-15,Chamise,None,102.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2009-06-26,Chamise,None,88.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2009-07-24,Chamise,None,66.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
